Transaction Date,Account Number,Account Holder Name,Amount,Status
01/03/2025,7289-3445-1121,Maria Johnson,150,Settled
02/03/2025,1122-3456-7890,John Smith,75.5,Pending
03/03/2025,3344-5566-7788,Robert Chen,220.25,Settled
04/03/2025,8899-0011-2233,Sarah Williams,310.75,Failed
04/03/2025,9988-7766-5544,David Garcia,45.99,Pending
05/03/2025,2233-4455-6677,Emily Taylor,500,Settled
06/03/2025,1357-2468-9012,Michael Brown,99.95,Settled
07/03/2025,5551-2345-6789,Jennifer Lee,175.25,Pending
08/03/2025,7890-1234-5678,Thomas Wilson,62.5,Failed
08/03/2025,1212-3434-5656,Jessica Martin,830,Settled
09/03/2025,9876-5432-1011,Christopher Davis,124.75,Pending
10/03/2025,4646-8282-1919,Amanda Robinson,300.5,Settled
07/09/2025,9876-5432-1000,John Smith,150.5,Failed
07/09/2025,9876-5432-1000,John Dave,150.5,Pending
07/09/2025,9876-5432-1000,John Dave,150.5,Settled
2222-22-22,2222-2222-2222,222222222222,222.00,Failed
2020-12-13,1222-2222-2222,211111111,222.00,Settled
2025-09-07,9876-5432-1000,John Dave,150.50,Pending
